Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","CP_Radial_D5.0mm_P2.00mm",102.870000,-110.490000,0.000000,top
"C2","10u","CP_Radial_D5.0mm_P2.00mm",63.560888,-110.998000,0.000000,top
"J1","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",67.051000,-117.856000,90.000000,top
"J2","Conn_01x03_Female","PinSocket_1x03_P2.54mm_Vertical",105.918000,-118.364000,-90.000000,top
"J3","Conn_01x05_Male","PinHeader_1x05_P2.54mm_Vertical",62.484000,-63.505000,0.000000,top
"J4","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",107.696000,-62.245000,0.000000,top
"R1","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",86.614000,-114.554000,180.000000,top
"R2","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",83.566000,-106.426000,0.000000,top
"R3","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",59.436000,-79.502000,-90.000000,top
"R4","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",63.500000,-90.678000,-90.000000,top
"R5","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",111.760000,-84.582000,90.000000,top
"R6","10k","R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",106.172000,-88.900000,-90.000000,top
"U1","esp32","MODULE_ESP32_DEVKIT_V1",86.360000,-75.946000,0.000000,top
"U2","IRFZ44NPBF","TO-220",87.630000,-110.998000,0.000000,top
"U3","IRFZ44NPBF","TO-220",64.516000,-82.804000,-90.000000,top
"U4","IRFZ44NPBF","TO-220",106.680000,-80.518000,90.000000,top
